gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Adipo	B cell	Basal	Endo	HormSens	LumProg	Monocyte/Inf mac	Neutrophil/Granulocyte	Proliferating immune	Stroma_0	Stroma_1	Stroma_2	Stroma_3	Stroma_4	T cell	Tissue-resident mac	cDC1
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0B7C148C8	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC0974AE49B	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CC071BF7D12	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.005	0.01	0.008	0.0	0.005	0.014	0.579	0.0	0.076	0.003	0.014	0.003	0.006	0.028	0.012	0.039	0.048
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC03F7FB36A	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0564402E8	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC039D8C2A7	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0D32DC80C	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0BD81688E	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC0BEBB9C26	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC07CAD6A4A	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC09B046394	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CC00B974CC4	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.033	0.085	0.039	0.052	0.054	0.693	0.023	0.027	0.0	0.474	0.229	0.02	0.032	0.106	0.051	0.018	0.121
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	BMPR1B	0.021	0.038	0.012	0.0	1.016	0.023	0.008	0.034	0.0	0.006	0.017	0.008	0.014	0.172	0.006	0.018	0.015
BMPR2	Q13873	True	BMPR2_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	BMPR2	0.021	0.038	0.012	0.0	1.016	0.023	0.008	0.034	0.0	0.006	0.017	0.008	0.014	0.172	0.006	0.018	0.015
CEL	P19835	True	CEL_HUMAN	Cholesterol_byCEL	CPI-CS06A0713BD	CEL	0.002	0.0	0.003	0.0	0.004	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CEL	P19835	True	CEL_HUMAN	Cholesterol_byCEL	CPI-CS0CDFC0C7D	CEL	0.002	0.0	0.003	0.0	0.004	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DHCR24	Q15392	True	DHC24_HUMAN	Cholesterol_byDHCR24	CPI-CS0D81115C8	DHCR24	0.018	0.0	0.024	0.009	0.383	0.046	0.01	0.0	0.044	0.002	0.023	0.031	0.017	0.0	0.013	0.003	0.0
DHCR24	Q15392	True	DHC24_HUMAN	Cholesterol_byDHCR24	CPI-CS03D61E885	DHCR24	0.018	0.0	0.024	0.009	0.383	0.046	0.01	0.0	0.044	0.002	0.023	0.031	0.017	0.0	0.013	0.003	0.0
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0406B0B69	LIPA	0.115	0.609	0.085	0.314	0.065	0.423	0.192	0.083	0.259	0.13	0.043	0.159	0.13	0.091	0.115	0.432	0.019
LIPA	P38571	True	LICH_HUMAN	Cholesterol_byLIPA	CPI-CS0F51152EA	LIPA	0.115	0.609	0.085	0.314	0.065	0.423	0.192	0.083	0.259	0.13	0.043	0.159	0.13	0.091	0.115	0.432	0.019
CYP19A1	P11511	True	CP19A_HUMAN	Estradiol_byCYP19A1	CPI-CS029C8858F	CYP19A1	0.0	0.014	0.004	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.004	0.0
CYP19A1	P11511	True	CP19A_HUMAN	Estradiol_byCYP19A1	CPI-CS0B87D36A1	CYP19A1	0.0	0.014	0.004	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.004	0.0
CYP19A1	P11511	True	CP19A_HUMAN	Estradiol_byCYP19A1	CPI-CS0DAC88EFA	CYP19A1	0.0	0.014	0.004	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.004	0.0
