"Gene"	"IS01"	"IS02"	"State"	"MaxFC"	"InitialState"
"Adap2os"	"Adap2os"	1.03854314765731	-1.03854314765731	"S01"	1.03854314765731	"IS01"
"Fndc3b"	"Fndc3b"	1.03780149193007	-1.03780149193007	"S01"	1.03780149193007	"IS01"
"Rapgef1"	"Rapgef1"	1.03700791517706	-1.03700791517706	"S01"	1.03700791517706	"IS01"
"Susd6"	"Susd6"	1.03625641406205	-1.03625641406205	"S01"	1.03625641406205	"IS01"
"Dnajc1"	"Dnajc1"	1.03249582948481	-1.03249582948481	"S01"	1.03249582948481	"IS01"
"Myo9a"	"Myo9a"	1.03020644030377	-1.03020644030377	"S01"	1.03020644030377	"IS01"
"Dmxl1"	"Dmxl1"	1.02893211922178	-1.02893211922178	"S01"	1.02893211922178	"IS01"
"Ube2d3"	"Ube2d3"	1.02852104124835	-1.02852104124835	"S01"	1.02852104124835	"IS01"
"Rmnd5a"	"Rmnd5a"	1.02845617236577	-1.02845617236577	"S01"	1.02845617236577	"IS01"
"Senp1"	"Senp1"	1.02776192101938	-1.02776192101938	"S01"	1.02776192101938	"IS01"
"Tcf20"	"Tcf20"	1.02680826222253	-1.02680826222253	"S01"	1.02680826222253	"IS01"
"Setd3"	"Setd3"	1.0266577778869	-1.0266577778869	"S01"	1.0266577778869	"IS01"
"Zswim6"	"Zswim6"	1.02499436519007	-1.02499436519007	"S01"	1.02499436519007	"IS01"
"Basp1"	"Basp1"	1.02444852346155	-1.02444852346155	"S01"	1.02444852346155	"IS01"
"Myo5a"	"Myo5a"	1.02424034138161	-1.02424034138161	"S01"	1.02424034138161	"IS01"
"Virma"	"Virma"	1.02329582302485	-1.02329582302485	"S01"	1.02329582302485	"IS01"
"Stau2"	"Stau2"	1.0187786369146	-1.0187786369146	"S01"	1.0187786369146	"IS01"
"Acot9"	"Acot9"	1.01493326556433	-1.01493326556433	"S01"	1.01493326556433	"IS01"
"Ctss"	"Ctss"	1.01460793435867	-1.01460793435867	"S01"	1.01460793435867	"IS01"
"Pot1a"	"Pot1a"	1.01453045808092	-1.01453045808092	"S01"	1.01453045808092	"IS01"
"Luzp1"	"Luzp1"	1.01402090775806	-1.01402090775806	"S01"	1.01402090775806	"IS01"
"Gdi2"	"Gdi2"	1.01345417949416	-1.01345417949416	"S01"	1.01345417949416	"IS01"
"Ndel1"	"Ndel1"	1.0131594883258	-1.0131594883258	"S01"	1.0131594883258	"IS01"
"Mgat5"	"Mgat5"	1.00839518384663	-1.00839518384663	"S01"	1.00839518384663	"IS01"
"Sema4d"	"Sema4d"	1.00625202259088	-1.00625202259088	"S01"	1.00625202259088	"IS01"
"Ankfy1"	"Ankfy1"	1.00581384517845	-1.00581384517845	"S01"	1.00581384517845	"IS01"
"Slc16a10"	"Slc16a10"	1.00153584359153	-1.00153584359153	"S01"	1.00153584359153	"IS01"
"Taok3"	"Taok3"	1.00148590548509	-1.00148590548509	"S01"	1.00148590548509	"IS01"
"Vti1a"	"Vti1a"	1.00042811676805	-1.00042811676805	"S01"	1.00042811676805	"IS01"
"Frmd4a"	"Frmd4a"	1.00031036651523	-1.00031036651523	"S01"	1.00031036651523	"IS01"
"Slc7a8"	"Slc7a8"	1.00030051105319	-1.00030051105319	"S01"	1.00030051105319	"IS01"
"C1qc"	"C1qc"	0.995691531060367	-0.995691531060367	"S01"	0.995691531060367	"IS01"
"Phf14"	"Phf14"	0.994791853753451	-0.994791853753451	"S01"	0.994791853753451	"IS01"
"Cyb5r4"	"Cyb5r4"	0.992791577437888	-0.992791577437888	"S01"	0.992791577437888	"IS01"
