"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"	"InitialState"
"Tap2"	"Tap2"	-0.356781935666833	0.12912306845232	-0.319891433796613	0.695113334103984	"S01"	0.695113334103984	"IS04"
"Tmem39a"	"Tmem39a"	-0.459003106451119	-0.305543338214133	0.0574770493709788	0.693599183265465	"S01"	0.693599183265465	"IS04"
"Gm7247"	"Gm7247"	-0.234179481980594	-0.19392988351518	-0.234179481980594	0.689528474720638	"S01"	0.689528474720638	"IS04"
"Tvp23bos"	"Tvp23bos"	-0.234060660211639	-0.193831484237763	-0.234060660211639	0.689178610623158	"S01"	0.689178610623158	"IS04"
"Fnbp1l"	"Fnbp1l"	-0.902656824153446	0.623285504762175	-0.0562756127858845	0.661164150356027	"S01"	0.661164150356027	"IS04"
"Zfp872"	"Zfp872"	-0.335501319424227	-0.277837030148188	-0.0445975635222156	0.648198637419083	"S01"	0.648198637419083	"IS04"
"Adam11"	"Adam11"	-0.334428723709308	-0.276948786821771	-0.0424413353385892	0.643775163082861	"S01"	0.643775163082861	"IS04"
"Hmgn3"	"Hmgn3"	-0.46628146138867	0.18639542105133	-0.198825184501821	0.63947635821177	"S01"	0.63947635821177	"IS04"
"Gm43984"	"Gm43984"	-0.614301935026519	-0.271697216108021	0.247476066533343	0.628184095463738	"S01"	0.628184095463738	"IS04"
"Trim7"	"Trim7"	-0.347377524549278	0.0544497427532418	-0.223487712032754	0.626501265286405	"S01"	0.626501265286405	"IS04"
"Mx1"	"Mx1"	-0.477388510336634	-0.251721152420318	0.0998803442739516	0.625961972690819	"S01"	0.625961972690819	"IS04"
"Prpf38b"	"Prpf38b"	-0.219194656134959	0.0728535603931196	-0.360848948306867	0.623679712100258	"S01"	0.623679712100258	"IS04"
"Gm20708"	"Gm20708"	-0.34546007997196	0.326799796788465	-0.392856591640339	0.621672201879168	"S01"	0.621672201879168	"IS04"
"Zmiz2"	"Zmiz2"	-0.479809561018183	0.3367311153976	-0.258113311108128	0.613906594345417	"S01"	0.613906594345417	"IS04"
"Uvrag"	"Uvrag"	-0.856655357445736	0.299550126749515	0.148658182817166	0.6063161480159	"S01"	0.6063161480159	"IS04"
"Gm37529"	"Gm37529"	-0.286863752873676	0.111365820237278	-0.302316179046797	0.606016654280486	"S01"	0.606016654280486	"IS04"
"Zeb1"	"Zeb1"	-1.09004955127906	0.233976694729324	0.434465379564565	0.593355367593727	"S01"	0.593355367593727	"IS04"
"Eml6"	"Eml6"	-0.768269701374021	0.211760454785043	0.13416475590631	0.584618677442746	"S01"	0.584618677442746	"IS04"
"Tox3"	"Tox3"	-0.376722881265049	0.0373049012023227	-0.143092872858292	0.579506935012422	"S01"	0.579506935012422	"IS04"
"Ddhd1"	"Ddhd1"	-0.677409770947466	-0.076068600988872	0.230147373210102	0.578193054024234	"S01"	0.578193054024234	"IS04"
"Jak2"	"Jak2"	-0.579172913171462	0.0561005113103643	0.0505295347112605	0.575987629939297	"S01"	0.575987629939297	"IS04"
"Jcad"	"Jcad"	0.0442855475032895	-0.0994876916577078	-0.450294394773446	0.547252233731265	"S01"	0.547252233731265	"IS04"
"Slc46a3"	"Slc46a3"	-0.226276647515843	-0.332901482733626	-0.0306358979260478	0.544870432598745	"S01"	0.544870432598745	"IS04"
"Exoc3l4"	"Exoc3l4"	-0.113780990825398	-0.312185496967788	-0.150699479691275	0.53846758163897	"S01"	0.53846758163897	"IS04"
"Asap1"	"Asap1"	-0.7872574189529	0.16183425698033	0.226149509122866	0.536112866591876	"S01"	0.536112866591876	"IS04"
"Hsh2d"	"Hsh2d"	-0.0758710310084354	-0.00229615476982241	-0.374297884944703	0.527317390239559	"S01"	0.527317390239559	"IS04"
"Mbp"	"Mbp"	-0.330909276395066	-0.484318368903123	0.192168855126058	0.51827689736065	"S01"	0.51827689736065	"IS04"
"Synpo2"	"Synpo2"	-0.3070048542496	0.307078804632863	-0.312394104804529	0.497328361234621	"S01"	0.497328361234621	"IS04"
"Etv6"	"Etv6"	-0.585706943398111	-0.050767632868873	0.19211471281014	0.496914244377424	"S01"	0.496914244377424	"IS04"
