"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"Podnl1"	"Podnl1"	-0.303972529169016	-0.16330129626812	-0.292826869766152	0.710945990470015	-0.193011532985258	0.0860665858123863	0.0776338024853402	-0.0241749819868918	"S02"	0.710945990470015	"IS04"
"2310043P16Rik"	"2310043P16Rik"	-0.162715461495261	0.0435171597582494	-0.156749227907101	0.705937841674338	0.147266713341552	-0.170379595551197	-0.171623242234052	-0.19115759500866	"S02"	0.705937841674338	"IS04"
"Acsbg1"	"Acsbg1"	-0.144395546691942	0.117948438539366	-0.293405862413916	0.692208013646161	-0.256305573078085	0.439889876174584	-0.112052008322961	-0.271370196128428	"S02"	0.692208013646161	"IS04"
"Gm4876"	"Gm4876"	-0.131857737412539	0.357824935515949	-0.256384838367024	0.691050869729212	-0.114105822025109	0.193771277511668	-0.153730090903816	-0.344190381344956	"S02"	0.691050869729212	"IS04"
"Apol7b"	"Apol7b"	-0.137636341902525	-0.139080079754649	-0.132589676032766	0.669803651397287	0.0102141253675384	0.0861038539329143	-0.145171178138064	-0.161694726869226	"S02"	0.669803651397287	"IS04"
"Cnot6l"	"Cnot6l"	0.260309832978702	0.287916850604802	-0.405264525496364	0.641162952413788	-0.225904222374831	0.62141024430677	-0.198212023504492	-0.565794985027405	"S02"	0.641162952413788	"IS04"
"Ddb2"	"Ddb2"	0.351821775944794	-0.296659083445072	0.296542329480376	0.62285270115865	-0.223760266450647	0.0485768076337533	-0.104682897485156	-0.198803918943956	"S02"	0.62285270115865	"IS04"
"Mgat5"	"Mgat5"	0.0424952437264551	0.176690816178334	-0.539054593014373	0.621205955747338	0.540512572897656	-0.228557026798831	-0.40450301606676	-0.346778038324517	"S02"	0.621205955747338	"IS04"
"Faah"	"Faah"	-0.419923177343773	-0.0128312459487389	-0.172917423467641	0.621091532817448	-0.300186554485129	0.595055498147667	0.0313245198822546	-0.233537817788826	"S02"	0.621091532817448	"IS04"
"Rasgrp1"	"Rasgrp1"	0.165565344802205	0.229496594417192	-0.20727145103014	0.616758589975043	-0.100187728346991	-0.0427048695155273	0.182692709196936	-0.473736901476533	"S02"	0.616758589975043	"IS04"
"Gata3"	"Gata3"	-0.215177338877431	0.196541736109437	-0.425721291544099	0.607720282373013	-0.142671215354048	0.0206972719244232	0.0109550620530797	-0.107954326818976	"S02"	0.607720282373013	"IS04"
"Usp3"	"Usp3"	0.123402818687908	0.495772011548719	0.0592437789427134	0.598909373342767	-0.209203401161807	0.190692692227664	-0.207369641964857	-0.44614045396977	"S02"	0.598909373342767	"IS04"
"Nxpe3"	"Nxpe3"	0.167364097321039	-0.177641316028181	0.331642105085365	0.598203229787603	-0.404185727468141	0.308900841379391	0.0472138231975849	-0.282557977213907	"S02"	0.598203229787603	"IS04"
"Itgb3"	"Itgb3"	0.0551774877236182	0.0607234293644689	-0.29252830560633	0.596771680350012	-0.3401491925655	-0.0131779879590524	0.184199217170726	-0.116431992050845	"S02"	0.596771680350012	"IS04"
"Cd82"	"Cd82"	0.12703713918223	-0.0968228312547151	-0.28378724475813	0.594835675191467	-0.103124493760521	0.57420838007073	-0.232824994862996	-0.37574204710294	"S02"	0.594835675191467	"IS04"
