"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"Nos1ap"	"Nos1ap"	0.210867882087464	-0.0723124839799371	0.751646135983545	-0.110419597393365	-0.341853308859163	-0.32572701833518	0.009851448602354	"S01"	0.751646135983545	"IS03"
"Syn1"	"Syn1"	-0.247322335900841	-0.038935738836335	0.751318380435364	0.10683834922985	-0.120948108705737	-0.236343897697634	-0.0638354889154575	"S01"	0.751318380435364	"IS03"
"Pilrb1"	"Pilrb1"	0.0166541509969851	-0.14315629805911	0.750129776703534	-0.206201955882588	-0.221489059882347	-0.234883566765868	0.13809518297175	"S01"	0.750129776703534	"IS03"
"Cd200r1"	"Cd200r1"	-0.267094888474458	-0.0699235192401756	0.749772533588702	0.337663652246497	-0.246457899305473	-0.584173306113089	0.199650924258649	"S01"	0.749772533588702	"IS03"
"Sepsecs"	"Sepsecs"	-0.299282759246354	-0.158360534723014	0.748892050034973	0.0954117549311209	-0.354028212794637	-0.29549066288283	0.447835252723534	"S01"	0.748892050034973	"IS03"
"Arhgap26.1"	"Arhgap26.1"	-0.426253468514199	-0.120440969608904	0.747772790392543	0.235193492910998	-0.189729908822618	-0.732129552653458	0.578773250166269	"S01"	0.747772790392543	"IS03"
"Olfm1"	"Olfm1"	-0.299812307899249	-0.243914131688328	0.741901865143198	-0.228071900876134	-0.323594192539391	-0.11348730224425	0.645241737724169	"S01"	0.741901865143198	"IS03"
"Gm12689"	"Gm12689"	-0.125835138291394	-0.230647434662442	0.740875427827239	-0.125033690909485	-0.0891442466943271	-0.108675567032882	-0.024823871261359	"S01"	0.740875427827239	"IS03"
"Ms4a8a"	"Ms4a8a"	-0.68495830971064	0.516543111213219	0.738129149439875	0.455427627657829	-0.0806591456258962	-0.246932176471317	-0.17648064864935	"S01"	0.738129149439875	"IS03"
"Hmga2"	"Hmga2"	-0.128793846865942	-0.0803481558029696	0.735722845126171	0.0149111651428801	-0.111510440029455	-0.146835539969697	-0.169444902556195	"S01"	0.735722845126171	"IS03"
